abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,price
control,limousine,2008,automatik,232,a8,125000,diesel,18000
control,,2016,manuell,0,golf,150000,diesel,1
test,,2016,manuell,144,carnival,150000,,750
test,,2006,,70,fusion,150000,diesel,500
test,kombi,2007,manuell,143,6_reihe,150000,diesel,1500
test,coupe,1992,manuell,88,mx_reihe,150000,benzin,1039
test,,1990,,37,,60000,,899
control,cabrio,2003,manuell,192,astra,150000,benzin,3500
test,kombi,2001,manuell,150,galant,150000,,900
control,coupe,1998,automatik,301,911,150000,benzin,17500
test,cabrio,1999,manuell,193,3er,150000,benzin,6700
test,coupe,1990,manuell,113,andere,150000,benzin,2000
test,cabrio,2006,manuell,131,megane,150000,diesel,5129
test,limousine,2004,manuell,140,golf,125000,diesel,6890
test,limousine,2008,manuell,190,5er,150000,benzin,9000
test,kombi,2002,manuell,131,bora,150000,diesel,2599
control,kombi,2005,manuell,150,octavia,150000,benzin,7099
test,limousine,1997,manuell,102,3er,150000,benzin,699
test,limousine,2008,manuell,170,golf,125000,diesel,8800
control,kombi,1993,manuell,113,e_klasse,150000,diesel,1049
test,kombi,2008,automatik,184,c_klasse,125000,benzin,14999
control,limousine,2013,automatik,150,golf,60000,diesel,19850
test,,2017,manuell,80,golf,150000,,7200
test,kleinwagen,2003,manuell,60,punto,150000,benzin,1240
test,limousine,1984,manuell,75,andere,100000,benzin,1350
test,limousine,2003,manuell,84,astra,50000,benzin,2900
test,,2016,,0,polo,150000,,150
control,limousine,2002,manuell,125,vectra,150000,diesel,1600
control,kleinwagen,2004,manuell,75,corsa,150000,benzin,1899
control,cabrio,2010,manuell,73,c3,40000,benzin,7500
control,limousine,1996,manuell,95,passat,150000,benzin,900
control,kombi,2009,manuell,160,a4,70000,benzin,16000
test,kombi,2006,manuell,140,a6,150000,diesel,6350
control,limousine,2004,manuell,131,mondeo,150000,diesel,3600
control,limousine,2008,manuell,122,1er,80000,benzin,8000
control,,2000,,0,,5000,,500
control,kombi,2004,manuell,131,a4,150000,diesel,6600
test,coupe,2004,automatik,50,forfour,125000,benzin,1999
control,limousine,2003,automatik,163,e_klasse,125000,benzin,6950
control,kleinwagen,2014,manuell,200,andere,40000,benzin,15000
test,kombi,2013,manuell,140,andere,30000,benzin,13499
test,limousine,2007,manuell,177,1er,150000,diesel,9600
test,kombi,2005,manuell,116,fabia,150000,benzin,2399
control,coupe,2009,manuell,179,a5,80000,benzin,14200
control,andere,2011,automatik,111,modus,20000,benzin,8999
test,limousine,1990,automatik,0,c_klasse,150000,benzin,2500
control,kleinwagen,1997,manuell,0,a3,150000,,900
control,kleinwagen,2000,automatik,75,,125000,,0
control,cabrio,2007,,150,eos,100000,benzin,10990
test,,2000,manuell,0,astra,150000,,700
test,,2016,manuell,58,,150000,benzin,1300
control,limousine,2011,manuell,163,3er,100000,diesel,15350
test,kombi,2010,manuell,166,5er,150000,diesel,10800
test,bus,2011,manuell,90,berlingo,150000,diesel,6100
test,andere,2011,automatik,170,,125000,diesel,12500
control,kleinwagen,1996,manuell,0,polo,150000,benzin,200
control,limousine,1997,manuell,75,golf,60000,benzin,980
control,,2000,,0,,150000,,0
test,kombi,2001,manuell,131,passat,150000,diesel,4199
control,limousine,2003,automatik,334,a8,150000,benzin,10900
control,bus,2007,manuell,109,sprinter,150000,diesel,6800
test,kombi,1999,manuell,0,andere,70000,benzin,700
control,kombi,1998,manuell,150,a4,150000,,1550
control,kleinwagen,1992,manuell,45,polo,150000,benzin,850
control,limousine,2010,automatik,204,5er,90000,diesel,11000
test,suv,2011,manuell,101,meriva,30000,benzin,9700
control,cabrio,1999,manuell,120,,125000,benzin,3999
control,kombi,2008,manuell,105,octavia,100000,diesel,7500
test,,2016,manuell,75,clio,125000,,2000
test,kleinwagen,2000,manuell,60,punto,150000,benzin,600
test,limousine,1999,automatik,170,e_klasse,150000,benzin,3950
test,,2017,manuell,130,golf,150000,diesel,1800
control,limousine,2015,manuell,184,a3,30000,diesel,33499
test,kombi,2001,manuell,131,a4,150000,diesel,2001
test,coupe,2010,automatik,239,a5,80000,diesel,24750
control,kleinwagen,2004,manuell,88,2_reihe,125000,benzin,2650
test,kleinwagen,2007,manuell,86,ibiza,125000,benzin,4450
control,limousine,2006,manuell,122,1er,125000,diesel,8000
control,coupe,2010,automatik,177,1er,150000,diesel,14499
control,kleinwagen,2004,manuell,70,fiesta,90000,benzin,1780
test,kombi,2006,manuell,140,touran,150000,diesel,5100
test,kleinwagen,1994,manuell,60,polo,150000,benzin,0
control,kombi,2000,manuell,0,,150000,diesel,0
test,,1985,,0,andere,90000,,1900
test,kombi,1998,manuell,122,c_klasse,150000,benzin,1500
test,kleinwagen,2006,manuell,80,agila,20000,benzin,5750
test,suv,2006,automatik,224,touareg,150000,diesel,15700
test,coupe,1986,manuell,150,andere,150000,benzin,7924
test,limousine,2001,automatik,131,a4,80000,benzin,4950
test,bus,2001,manuell,116,alhambra,150000,diesel,0
test,limousine,2007,automatik,235,5er,150000,diesel,12990
test,limousine,2004,manuell,116,golf,150000,benzin,3999
test,,2000,manuell,0,ibiza,150000,benzin,1500
test,kleinwagen,1999,manuell,58,clio,150000,benzin,0
control,suv,2014,automatik,190,x_reihe,30000,diesel,42500
control,kleinwagen,1999,manuell,75,golf,150000,benzin,1000
control,kleinwagen,2007,automatik,61,fortwo,150000,benzin,2699
control,kleinwagen,2003,manuell,50,lupo,100000,benzin,2490
test,,2016,manuell,75,fiesta,125000,,450
control,limousine,1999,manuell,118,3er,150000,benzin,2500
test,kombi,2004,manuell,155,mondeo,90000,diesel,5450
test,kombi,1997,manuell,116,mondeo,20000,benzin,350
control,limousine,2009,manuell,80,polo,150000,diesel,5200
control,,2017,automatik,211,,150000,,1199
test,,2017,manuell,0,andere,150000,benzin,1500
test,kombi,1997,manuell,193,a4,150000,benzin,3500
test,limousine,1999,manuell,170,,150000,lpg,1850
test,bus,2006,manuell,125,galaxy,150000,,6750
test,bus,2005,manuell,98,andere,20000,benzin,4500
test,kombi,2013,manuell,92,2_reihe,40000,diesel,14990
control,kombi,2001,manuell,163,c_klasse,150000,benzin,1900
test,kombi,2004,manuell,102,golf,150000,diesel,1800
control,limousine,2010,manuell,143,x_reihe,150000,diesel,12500
control,bus,2007,manuell,174,transporter,150000,diesel,23950
test,kleinwagen,2004,manuell,75,twingo,150000,benzin,1100
test,coupe,2002,manuell,320,911,70000,benzin,42900
control,kleinwagen,2001,,0,ka,5000,benzin,980
test,limousine,2013,manuell,140,leon,30000,benzin,18600
test,,2000,manuell,50,polo,150000,benzin,200
control,kombi,2006,automatik,224,a6,150000,diesel,8900
control,cabrio,2005,automatik,163,a4,100000,benzin,10500
control,limousine,1998,manuell,116,astra,150000,benzin,1550
test,limousine,2001,automatik,197,s_klasse,150000,diesel,5200
control,kleinwagen,2000,manuell,50,fiesta,90000,benzin,1100
control,coupe,2000,manuell,170,3er,150000,benzin,2950
control,,2015,,0,,5000,,30
control,,2018,,0,fortwo,125000,benzin,2350
control,limousine,2004,manuell,102,a4,150000,benzin,4900
control,kombi,2001,manuell,136,3er,150000,diesel,2500
test,limousine,2002,automatik,155,a6,150000,diesel,4990
test,cabrio,1996,manuell,0,escort,150000,benzin,550
test,cabrio,1994,manuell,75,golf,150000,benzin,390
test,kombi,2005,manuell,113,megane,150000,benzin,1600
control,limousine,2000,automatik,136,3er,150000,diesel,2500
control,kleinwagen,2002,manuell,83,jazz,150000,benzin,2250
control,kombi,2000,manuell,115,passat,150000,diesel,1500
control,coupe,1995,manuell,286,m_reihe,100000,benzin,0
control,kleinwagen,2009,manuell,0,,125000,benzin,3550
control,limousine,2006,manuell,163,1er,125000,diesel,7100
control,kleinwagen,1998,manuell,75,andere,125000,benzin,500
control,kombi,2002,manuell,0,,150000,benzin,2000
test,coupe,2004,manuell,0,a_klasse,125000,benzin,3999
test,limousine,1998,,90,a_klasse,150000,diesel,1300
control,limousine,2001,manuell,101,a3,150000,benzin,999
test,,2000,manuell,0,,100000,diesel,280
control,bus,2005,manuell,131,transporter,150000,diesel,5999
test,cabrio,1997,manuell,0,golf,150000,benzin,690
control,coupe,2011,automatik,204,e_klasse,100000,diesel,25000
test,kleinwagen,2000,manuell,0,twingo,150000,benzin,850
test,kombi,1994,manuell,0,100,150000,benzin,450
control,,2005,manuell,102,a3,150000,benzin,3450
control,limousine,2005,automatik,177,5er,150000,diesel,9599
test,bus,2012,automatik,163,viano,80000,diesel,25900
control,limousine,2000,manuell,115,octavia,150000,benzin,1999
control,limousine,2002,manuell,0,c_klasse,150000,benzin,2800
test,kleinwagen,1999,manuell,75,2_reihe,150000,benzin,1350
test,kleinwagen,2002,manuell,50,ka,100000,benzin,560
test,kleinwagen,2001,manuell,0,,100000,benzin,800
control,kleinwagen,2012,manuell,55,twingo,30000,benzin,6940
control,limousine,1999,manuell,75,golf,150000,benzin,1300
test,kombi,2000,manuell,116,passat,150000,diesel,1450
control,limousine,1984,manuell,125,5er,150000,benzin,3500
control,coupe,1998,manuell,125,andere,150000,benzin,1200
control,limousine,2003,manuell,102,a3,150000,benzin,3250
control,coupe,2007,manuell,295,andere,20000,benzin,35911
test,coupe,2004,manuell,150,3er,150000,diesel,5299
test,bus,2001,manuell,68,transporter,100000,diesel,3500
test,bus,2004,manuell,128,andere,150000,diesel,2800
test,suv,2010,manuell,86,duster,150000,diesel,5800
test,limousine,2006,automatik,334,a6,150000,benzin,13490
control,kleinwagen,1995,manuell,75,polo,150000,benzin,650
control,coupe,2012,manuell,170,a5,50000,benzin,27300
control,kombi,2001,manuell,75,fabia,125000,benzin,2400
control,kleinwagen,2009,manuell,69,2_reihe,70000,benzin,4900
control,limousine,2011,manuell,95,colt,70000,benzin,5790
control,kleinwagen,2004,manuell,102,beetle,90000,benzin,7000
control,limousine,2001,automatik,231,3er,150000,benzin,4700
control,limousine,1996,manuell,0,3er,20000,benzin,899
test,limousine,1989,manuell,132,andere,150000,benzin,1800
control,kombi,1992,manuell,136,e_klasse,150000,benzin,1450
control,coupe,1989,manuell,133,80,150000,benzin,2600
control,limousine,2008,manuell,160,a4,125000,benzin,14990
test,suv,2001,manuell,124,andere,150000,benzin,2700
test,coupe,2007,manuell,105,astra,125000,benzin,5200
control,cabrio,2003,manuell,73,c3,60000,benzin,3200
test,limousine,2010,automatik,239,a6,150000,diesel,20000
control,cabrio,2012,automatik,265,e_klasse,40000,diesel,36890
test,limousine,1999,manuell,75,,150000,,0
test,limousine,1999,manuell,110,golf,150000,diesel,1600
control,limousine,2007,manuell,105,golf,150000,diesel,6799
test,kombi,2002,manuell,75,focus,150000,diesel,1200
test,kombi,1999,manuell,107,megane,150000,,400
test,limousine,1996,manuell,101,vectra,150000,benzin,199
test,,2005,,0,golf,150000,benzin,7500
test,kleinwagen,2005,manuell,0,clio,125000,benzin,2199
test,bus,1976,manuell,50,,5000,diesel,1500
test,limousine,2001,manuell,150,a3,150000,benzin,3299
test,kleinwagen,2003,manuell,82,getz,150000,benzin,1200
control,kleinwagen,1992,manuell,33,corsa,150000,benzin,750
control,,2016,automatik,0,5er,150000,benzin,2200
control,limousine,2000,manuell,101,,150000,benzin,1099
test,kleinwagen,2005,manuell,75,clio,125000,benzin,3500
test,kleinwagen,1998,manuell,101,,150000,benzin,1150
test,kleinwagen,2004,manuell,60,fiesta,125000,benzin,1300
control,,2016,manuell,0,cordoba,5000,benzin,650
control,coupe,1997,manuell,150,3er,150000,lpg,4000
test,coupe,2006,automatik,219,cl,150000,diesel,14500
test,kleinwagen,2009,manuell,58,twingo,90000,benzin,3599
test,,2010,,0,,150000,,300
test,,2017,manuell,120,scenic,150000,,3500
test,kombi,1997,automatik,204,e_klasse,150000,benzin,999
test,cabrio,2005,manuell,90,tigra,125000,benzin,3590
control,limousine,2002,,0,a4,150000,diesel,2250
control,,2000,,0,astra,150000,,1
test,kleinwagen,2006,manuell,80,corsa,125000,benzin,4200
control,limousine,1996,manuell,90,megane,125000,benzin,500
control,,2018,manuell,0,sprinter,40000,diesel,5000
control,bus,1997,manuell,174,galaxy,150000,benzin,900
test,kombi,2002,manuell,166,156,150000,benzin,1900
test,,2009,,0,mondeo,150000,,135
control,limousine,2003,manuell,241,golf,80000,benzin,18999
test,kleinwagen,2000,manuell,90,focus,150000,benzin,850
test,bus,2001,manuell,75,andere,150000,benzin,1490
control,kleinwagen,1999,manuell,102,a_klasse,150000,benzin,799
test,kleinwagen,1997,manuell,0,andere,150000,benzin,400
control,limousine,2007,automatik,218,300c,150000,diesel,8150
control,coupe,2002,manuell,167,andere,150000,benzin,1499
test,limousine,2000,manuell,101,vectra,125000,benzin,1740
control,coupe,2004,automatik,250,a3,150000,benzin,7999
test,kleinwagen,2010,automatik,71,fortwo,60000,benzin,5350
control,bus,2013,manuell,140,zafira,80000,benzin,13450
control,kombi,2000,automatik,179,a6,30000,diesel,3800
control,limousine,1990,manuell,94,,150000,diesel,2800
control,kleinwagen,2002,manuell,75,corsa,150000,benzin,1700
test,bus,2011,manuell,105,touran,150000,diesel,10999
test,limousine,1996,manuell,90,6_reihe,150000,benzin,999
control,andere,2001,,0,andere,150000,andere,850
control,kleinwagen,2013,manuell,69,500,40000,benzin,8900
test,,2017,manuell,69,500,50000,,8599
test,kleinwagen,1999,manuell,101,golf,150000,benzin,1100
test,kombi,2013,manuell,140,passat,40000,diesel,8000
test,limousine,2005,manuell,129,1er,150000,benzin,5595
control,cabrio,1989,manuell,100,golf,150000,benzin,2000
control,,2017,,0,a_klasse,150000,benzin,400
control,kombi,2006,manuell,140,a3,150000,diesel,7500
control,coupe,1981,automatik,136,andere,80000,,4900
test,kombi,2004,manuell,131,a4,150000,benzin,4999
control,limousine,2008,manuell,156,c_klasse,125000,benzin,11000
control,kleinwagen,2011,manuell,84,andere,40000,benzin,7550
test,kombi,1999,manuell,125,passat,150000,,2300
control,cabrio,2008,manuell,126,mx_reihe,70000,benzin,8900
control,limousine,2008,manuell,177,1er,150000,diesel,7980
control,limousine,2010,automatik,245,7er,60000,diesel,18000
test,kombi,1998,manuell,90,scenic,150000,benzin,400
control,kombi,2010,manuell,184,3er,150000,diesel,14300
control,kombi,2002,manuell,116,ptcruiser,125000,benzin,2300
control,kleinwagen,2011,manuell,69,ibiza,70000,benzin,6400
test,limousine,2014,automatik,184,leon,40000,diesel,20000
test,kombi,2003,automatik,192,3er,150000,benzin,4499
control,kombi,1997,manuell,136,c_klasse,150000,benzin,728
test,limousine,1999,manuell,150,3er,150000,benzin,2400
test,bus,2014,manuell,155,transit,90000,diesel,24000
control,kombi,2008,automatik,0,5er,100000,benzin,15900
control,kleinwagen,1997,manuell,0,corsa,150000,benzin,300
test,coupe,2010,manuell,122,scirocco,100000,benzin,12899
test,limousine,2010,automatik,272,c_klasse,70000,benzin,27999
control,limousine,1997,manuell,101,passat,150000,benzin,1150
test,limousine,2014,manuell,143,x_reihe,125000,diesel,16000
control,limousine,2009,manuell,0,punto,90000,benzin,4150
control,kleinwagen,2003,manuell,90,one,150000,benzin,4350
control,kleinwagen,1998,manuell,75,golf,150000,benzin,1400
control,limousine,1992,automatik,150,100,150000,benzin,1100
test,bus,2011,manuell,102,transporter,125000,diesel,23850
test,kleinwagen,2009,manuell,174,cooper,80000,benzin,9999
control,kleinwagen,2004,manuell,200,leon,150000,diesel,6200
control,,2016,manuell,110,sharan,150000,diesel,3500
control,limousine,2003,manuell,177,e_klasse,150000,benzin,7700
control,limousine,1998,automatik,150,e_klasse,150000,benzin,1350
test,kleinwagen,2005,manuell,65,andere,125000,benzin,2999
control,limousine,2009,manuell,120,a4,100000,benzin,12200
control,,2000,manuell,101,vectra,150000,benzin,1000
control,kleinwagen,2000,manuell,115,golf,125000,benzin,3500
test,kombi,2005,manuell,116,avensis,150000,diesel,2600
control,kombi,2011,manuell,170,octavia,80000,diesel,16400
control,kleinwagen,2002,manuell,88,3_reihe,150000,benzin,1700
control,kombi,2013,automatik,170,e_klasse,50000,diesel,26000
test,,2018,manuell,75,,150000,benzin,2199
test,kleinwagen,2005,manuell,131,polo,150000,diesel,3699
control,kleinwagen,2009,manuell,69,ibiza,125000,benzin,4090
control,limousine,1990,manuell,102,andere,150000,benzin,650
test,bus,1999,manuell,88,transporter,150000,diesel,4900
test,bus,2007,manuell,106,scenic,150000,diesel,2500
control,suv,2015,automatik,136,andere,30000,diesel,23300
control,limousine,2001,manuell,81,megane,150000,benzin,950
test,kombi,1999,automatik,110,passat,150000,diesel,1100
control,coupe,2002,manuell,170,3er,150000,benzin,4100
control,bus,2006,manuell,140,zafira,100000,benzin,5600
control,kombi,2006,manuell,90,meriva,90000,benzin,4000
test,kleinwagen,2008,automatik,71,fortwo,60000,benzin,5799
test,limousine,2003,manuell,95,a_klasse,125000,diesel,4300
test,kleinwagen,2001,manuell,0,fiesta,150000,benzin,600
control,,2016,manuell,0,fiesta,150000,benzin,500
control,limousine,2009,manuell,179,a4,150000,benzin,11500
test,kleinwagen,1999,automatik,54,fortwo,150000,benzin,1000
control,,2016,manuell,75,andere,150000,,300
control,bus,2000,manuell,140,espace,150000,benzin,1700
control,kleinwagen,2008,manuell,80,polo,150000,diesel,4490
test,limousine,2008,manuell,120,147,70000,benzin,6800
control,bus,2004,manuell,0,golf,20000,,2000
test,limousine,1996,manuell,182,a4,150000,benzin,1500
test,bus,2004,manuell,135,scenic,150000,benzin,2
control,kombi,1997,,0,passat,150000,,950
test,limousine,2011,manuell,122,1er,60000,benzin,10999
control,,2000,manuell,115,mondeo,150000,benzin,0
test,kleinwagen,2003,manuell,75,polo,150000,benzin,1400
control,kleinwagen,1996,manuell,75,,150000,benzin,600
test,cabrio,1996,manuell,116,3er,150000,benzin,2600
control,limousine,1999,manuell,101,bora,125000,benzin,2150
test,limousine,2001,manuell,131,a4,150000,benzin,3900
control,limousine,1999,manuell,136,3er,150000,diesel,3199
test,cabrio,1997,manuell,150,3er,150000,benzin,3200
control,limousine,2004,automatik,175,5er,150000,diesel,5200
test,kombi,2002,manuell,101,astra,150000,benzin,1390
test,suv,2014,manuell,140,q3,10000,diesel,29100
test,kombi,2014,automatik,300,andere,30000,benzin,39900
control,cabrio,2004,manuell,163,a4,150000,benzin,7660
control,bus,2006,manuell,0,modus,90000,,2800
control,kleinwagen,2001,automatik,0,fortwo,90000,benzin,0
test,limousine,2009,manuell,80,golf,150000,benzin,6575
test,kombi,2007,automatik,179,a6,150000,diesel,7255
control,kombi,2002,automatik,75,fabia,125000,benzin,2390
test,limousine,2009,manuell,122,1er,80000,benzin,8888
control,kleinwagen,1997,manuell,75,polo,150000,benzin,350
test,limousine,2012,manuell,180,a4,80000,diesel,23999
test,limousine,1992,manuell,116,vectra,150000,benzin,999
control,coupe,2004,automatik,170,clk,5000,diesel,9100
test,,1995,manuell,150,,150000,,1550
control,coupe,2000,manuell,179,tt,150000,benzin,5499
test,,2016,manuell,0,,150000,benzin,550
test,limousine,1990,manuell,90,80,150000,benzin,900
test,limousine,1997,manuell,125,passat,150000,benzin,550
test,limousine,1992,manuell,60,golf,125000,benzin,700
test,limousine,2014,automatik,125,a3,20000,benzin,22900
control,kleinwagen,1995,manuell,45,fiesta,100000,benzin,200
test,bus,2005,manuell,174,transporter,150000,diesel,14000
control,kombi,2004,manuell,122,c_klasse,150000,diesel,3600
test,limousine,2009,automatik,0,a5,150000,diesel,7855
control,limousine,2000,manuell,105,bora,125000,benzin,3500
control,limousine,2004,automatik,218,7er,150000,diesel,9500
control,kombi,2005,manuell,155,mondeo,150000,diesel,2899
test,kombi,2003,automatik,193,5er,150000,diesel,7900
test,limousine,2008,manuell,170,golf,150000,diesel,3900
control,,2000,,0,fiesta,5000,,0
control,limousine,2014,manuell,150,golf,20000,diesel,18750
test,suv,2007,manuell,150,cr_reihe,150000,benzin,10000
test,,2008,manuell,174,transporter,150000,,10900
control,kleinwagen,2000,manuell,50,polo,150000,benzin,1000
control,kleinwagen,1998,manuell,60,polo,5000,benzin,0
test,kleinwagen,2006,manuell,60,ka,125000,benzin,1800
test,bus,2001,manuell,116,sharan,150000,diesel,3300
control,suv,2008,automatik,185,xc_reihe,90000,diesel,10000
control,kleinwagen,2004,manuell,75,clio,5000,benzin,1400
control,bus,1998,automatik,148,andere,150000,benzin,600
control,kleinwagen,2003,manuell,54,corsa,150000,,1750
control,limousine,1999,manuell,101,golf,125000,benzin,3000
test,cabrio,1985,manuell,69,escort,30000,benzin,1700
control,limousine,2007,manuell,88,c4,125000,benzin,3500
control,kleinwagen,1996,manuell,0,3_reihe,150000,benzin,350
control,kleinwagen,2006,manuell,75,clio,80000,benzin,3150
test,limousine,2001,manuell,190,3er,150000,benzin,3780
control,kombi,2004,manuell,75,golf,150000,benzin,3580
control,bus,2010,automatik,170,touran,150000,diesel,14900
control,,2017,manuell,0,golf,150000,benzin,1250
control,kleinwagen,2011,manuell,68,spark,40000,benzin,3999
control,,2000,,0,v70,5000,diesel,500
control,kombi,2009,manuell,101,clio,50000,benzin,5750
control,limousine,2002,manuell,116,3er,150000,benzin,3750
control,kleinwagen,2001,manuell,58,corsa,150000,benzin,1499
control,kombi,1998,manuell,101,vectra,150000,diesel,890
control,limousine,1997,manuell,125,passat,150000,benzin,800
control,limousine,2006,manuell,185,leon,60000,benzin,8250
test,kombi,2004,manuell,140,touran,150000,diesel,2450
control,kleinwagen,2010,manuell,0,fiesta,150000,diesel,4350
control,kombi,1995,manuell,74,astra,150000,benzin,900
test,kombi,2006,manuell,105,passat,150000,diesel,6350
test,cabrio,1996,automatik,101,golf,150000,benzin,1699
control,,1990,,90,golf,150000,benzin,450
control,cabrio,2000,automatik,163,andere,150000,benzin,3300
control,kombi,2013,automatik,200,x_type,50000,,28800
control,limousine,2005,automatik,204,x_reihe,150000,diesel,6550
test,suv,2012,manuell,140,kuga,90000,diesel,14900
control,limousine,2001,manuell,60,punto,150000,benzin,650
test,limousine,2011,automatik,111,5_reihe,150000,diesel,7999
test,kleinwagen,2011,manuell,90,polo,70000,diesel,11450
control,suv,2007,automatik,190,m_klasse,150000,diesel,16000
control,limousine,1997,manuell,115,laguna,150000,lpg,0
test,limousine,1994,automatik,122,c_klasse,60000,benzin,3150
control,,2000,,0,ibiza,125000,,300
control,suv,2007,automatik,224,m_klasse,80000,diesel,23900
control,kombi,2004,manuell,131,a4,150000,diesel,4300
test,limousine,2008,manuell,300,impreza,100000,benzin,17999
control,bus,2007,manuell,136,b_klasse,125000,benzin,8690
test,kombi,2000,manuell,75,focus,150000,benzin,1150
test,,2000,,0,polo,150000,,1000
test,kleinwagen,1995,manuell,60,golf,150000,benzin,749
test,limousine,1999,manuell,101,astra,150000,benzin,1399
control,andere,2002,automatik,122,vito,5000,diesel,16900
control,kleinwagen,2001,automatik,95,a_klasse,150000,diesel,550
control,kombi,2009,manuell,69,fabia,50000,benzin,6700
control,limousine,2007,automatik,0,5er,150000,diesel,14000
control,kleinwagen,2002,manuell,75,polo,150000,benzin,3000
test,kombi,2000,manuell,150,a6,150000,diesel,1000
test,cabrio,2004,manuell,260,boxster,60000,benzin,19986
control,kleinwagen,1999,manuell,60,polo,150000,benzin,1500
control,andere,2008,manuell,102,transporter,150000,diesel,7000
test,kombi,2007,manuell,170,octavia,150000,diesel,9450
control,limousine,2000,manuell,116,e_klasse,150000,diesel,4500
test,kleinwagen,2005,manuell,64,polo,150000,benzin,4690
test,kombi,2002,manuell,75,kangoo,150000,benzin,2350
control,bus,2005,manuell,116,b_klasse,100000,benzin,6950
test,kleinwagen,1997,manuell,54,corsa,125000,benzin,1099
control,cabrio,2010,automatik,110,megane,150000,diesel,12400
control,limousine,2008,automatik,196,x_type,125000,benzin,14900
control,kleinwagen,2003,manuell,63,ibiza,150000,benzin,1950
test,kombi,2007,manuell,105,caddy,150000,diesel,9499
control,kombi,1983,manuell,140,andere,150000,benzin,2200
control,andere,2008,manuell,0,,150000,diesel,4600
control,,2016,,0,clio,150000,,499
test,kombi,2006,manuell,140,a3,150000,diesel,5900
control,kombi,2005,manuell,224,a6,150000,diesel,12500
test,kleinwagen,1996,manuell,60,polo,150000,benzin,1050
control,bus,2008,manuell,140,zafira,125000,benzin,8850
control,kombi,2000,manuell,90,golf,150000,diesel,1650
control,kleinwagen,1995,manuell,63,andere,60000,benzin,15500
control,limousine,1999,manuell,0,golf,150000,diesel,999
test,limousine,1998,manuell,0,focus,150000,,399
test,limousine,2001,manuell,231,3er,150000,benzin,5500
control,,2005,,0,,5000,,350
test,limousine,2002,manuell,150,3er,150000,diesel,2499
control,limousine,2000,automatik,170,e_klasse,150000,diesel,4490
control,kombi,2005,manuell,80,astra,150000,diesel,2900
control,kleinwagen,2010,manuell,60,polo,60000,benzin,6800
test,limousine,2008,manuell,140,civic,150000,benzin,5200
control,kombi,2007,manuell,158,ducato,150000,diesel,2950
test,limousine,2007,manuell,102,golf,150000,benzin,6350
control,limousine,1999,manuell,238,s_type,150000,benzin,1999
test,limousine,2011,manuell,150,avensis,150000,diesel,10000
test,kombi,2012,automatik,245,a6,90000,diesel,37999
control,coupe,1980,manuell,277,andere,20000,benzin,579000
control,limousine,2005,automatik,231,3er,150000,diesel,5000
control,bus,1999,manuell,110,galaxy,150000,diesel,1590
control,kombi,1992,manuell,230,100,150000,benzin,6450
control,bus,2009,manuell,140,touran,125000,diesel,11490
control,kleinwagen,2005,manuell,116,cooper,125000,benzin,6500
control,limousine,2005,manuell,115,1er,125000,benzin,3800
control,limousine,1999,manuell,116,beetle,150000,benzin,3900
control,suv,2003,manuell,116,rav,150000,diesel,4999
control,,2000,,0,e_klasse,150000,,2750
test,,2009,manuell,0,astra,125000,benzin,0
test,limousine,1998,manuell,75,golf,150000,benzin,2200
test,kombi,2010,manuell,136,c_klasse,125000,diesel,12999
test,kombi,2009,automatik,143,a4,150000,diesel,11900
test,,2016,automatik,239,c_reihe,150000,,2600
control,kleinwagen,2009,,0,corsa,100000,benzin,3600
test,limousine,2007,manuell,140,astra,125000,benzin,7500
test,andere,1995,manuell,65,escort,150000,benzin,399
test,limousine,1996,manuell,230,a4,150000,benzin,3000
test,suv,2007,manuell,150,x_trail,125000,diesel,11999
test,,2017,automatik,177,3er,150000,,11600
control,kleinwagen,1998,manuell,60,corsa,150000,benzin,1000
control,limousine,2002,manuell,150,toledo,150000,diesel,3190
test,limousine,2007,manuell,116,passat,80000,benzin,8900
test,,2016,,0,fiesta,5000,,80
test,limousine,1999,manuell,104,,150000,benzin,250
control,bus,2006,manuell,105,altea,150000,diesel,4800
test,suv,2009,manuell,114,qashqai,80000,benzin,11500
control,kleinwagen,2003,manuell,75,polo,125000,benzin,3499
control,,2016,manuell,110,golf,150000,diesel,0
test,coupe,1965,manuell,90,andere,100000,benzin,12800
test,kleinwagen,2007,automatik,84,fortwo,60000,benzin,4950
test,kleinwagen,1997,manuell,101,a3,150000,benzin,650
control,,2017,manuell,86,meriva,125000,benzin,1890
test,,2000,,0,,125000,,14500
test,kleinwagen,2002,,90,corsa,150000,benzin,1499
test,limousine,1999,automatik,224,s_klasse,150000,benzin,2690
test,limousine,1996,automatik,122,c_klasse,150000,benzin,950
control,kombi,2003,automatik,193,5er,150000,diesel,4350
control,kleinwagen,1999,manuell,75,,125000,,1200
control,bus,2002,manuell,116,sharan,150000,diesel,2000
test,limousine,1990,manuell,0,golf,150000,,0
test,kleinwagen,2012,manuell,60,up,30000,benzin,7990
control,kleinwagen,1998,manuell,75,colt,150000,benzin,250
control,,2005,automatik,75,2_reihe,90000,benzin,350
test,limousine,1996,manuell,75,golf,150000,benzin,650
test,kombi,2002,manuell,143,c_klasse,150000,diesel,3250
control,,2017,manuell,97,rio,90000,benzin,1499
control,kombi,2006,automatik,231,5er,150000,diesel,8600
test,kleinwagen,1996,automatik,0,twingo,150000,benzin,350
